english,hindi
"I don't wanna resterilized.
","मैं resterilized नहीं चाहता.
"
"I'm so sorry, baby.
","मुझे माफ़ कर दो प्रिय...
"
"He's up there every day.
","वह वहाँ हर दिन जाता है.
"
"Are you all right, sir?
","आप सही सब, श्रीमान?
"
"What part of Boston?
","बोस्टन की क्या हिस्सा है?
"
"We can still reach you.
","हम अभी भी आप तक पहुँच सकते हैं.
"
"Mr. Baxford, I'm very sorry.
","बहुत खेद श्री Baxford, मैं हूँ.
"
"Will you kill my sister?
","मेरी बहन को मारेगा?
"
"Set up a five-block perimeter.
","अब। एक पांच ब्लॉक परिधि सेट अप!
"
"There's a problem, come here.
","एक समस्या है, यहाँ आते हैं।
"
"( Hissing breath )
","(Hissing सांस)
"
"That's the domestic bit.
","यह तो ""घरेलू"" हुआ.
"
"She put that there.
","वह डाल वहाँ कि.
"
"Someone actually lived here?
","कोई वास्तव में यहाँ रहते थे?
"
"You can't just do that.
","तुम बस ऐसा नहीं कर सकते.
"
"Hang on to your diaper!
","तैयार हो जाओ!
"
"Now the name calling?
","अब नाम बुला रहा है?
"
"He's a visionary, like me.
","वह एक स्वप्नदर्शी है, मेरी तरह।
"
"Get inside, its not safe.
",", अंदर उसके सुरक्षित नहीं मिलता है.
"
"You know how that is.
","आप यह है कि कैसे पता है।
"
"Pandu is my life.
","पन्डु... मेरी जान
"
"I can't break through.
","मैं के माध्यम से नहीं तोड़ सकते।
"
"You should go by.
","आप गुजरना होगा.
"
"- I'm on that.
","- मैं उस पर हूँ.
"
"I've found a baby before.
","मैं एक बच्चा मिला है पहले.
"
"From the South Island?
","दक्षिण द्वीप से?
"
"People are going wild.
","लोग पागल हुए जा रहे हैं।
"
"You and me, son.
","तुम और मैं, बेटे.
"
"DK doubts me too.
","डीके मुझे भी संदेह है।
"
"Must have been Sharmila.
","शर्मिला रहा होगा।
"
"Scabies, I'm talking about scabies.
","खुजली, मैं खुजली के बारे में बात कर रहा था।
"
"When will he come?
","वह कब आएगा?
"
"I'm here to find out.
","मैं यहाँ हूँ पता लगाने के लिए।
"
"Max, if I were you.
","मैक्स, अगर मैं तुम्हें थे.
"
"Everything good between you two?
","आप के बीच सब कुछ अच्छा दो
"
"I'm thinking of this.
","मैं इस बारे में सोच रहा हूँ।
"
"She was a wonderful woman.
","वह एक अच्छी औरत थी.
"
"( Grunting, moaning )
","(घुरघुराना, कराह रही है)
"
"They're right there with you.
","वो वहीँ तुम्हारे साथ होंगे .
"
"You've experienced little air turbulence!
","आपने अभी थोड़ी देर के लिए कंपन महसूस किया है!
"
"He's sounding absolutely absurd.
","वह बिल्कुल बेतुका लग रहा है।
"
"He died right away?
","वह तुरंत मर गया?
"
"Erik, you're not alone.
","एरिक ... तुम अकेले नहीं हो.
"
"I don't where to start.
","मैं शुरू करने के लिए जहां नहीं है.
"
"woman speaking native language:
","महिला अपनी मातृभाषा में बोल रही है:
"
"Go down the hallway.
","हॉलवे से नीचे जाओ।
"
"We're out of options, Mako.
","हम विकल्प, Mako से बाहर हैं.
"
"Then beat him another way.
","तो उसे दूसरे तरीके से हराया.
"
"They stole my bicycle.
","कोई मेरी साइकिल चुरा ले गया.
"
"- Lucy must be thrilled.
","- लूसी बहुत खुश होगी।
"
"- My child is home.
","- मेरे बच्चे को घर है.
"
"Tim, there's our flight!
","टिम, वह रही हमारी फ़्लाइट!
"
"Don't look so disappointed.
","तो निराश मत देखो.
"
"( Woman moaning )
","(महिला कराह रही है)
"
"- Nah, she's all right.
","- नहीं, वह सच में ठीक है।
"
"Why are you lying?
","तुम झूठ क्यों बोल रहे हो?
"
"- Get lost man.
","- भाग यहाँ से.
"
"He's here to kill you.
","वह यहाँ है तुम्हें मारने के लिए.
"
"GET RID OF THE CAR.
","कार से छुटकारा मिलता है.
"
"Gonna keep getting naughtier.
","Naughtier रही रखने वाला.
"
"You should ask him out.
","आप उसे बाहर से पूछना चाहिए.
"
"Water under the bridge.
","बात ख़त्म हो गई।
"
"Good morning, Don Michele.
","सुप्रभात, डॉन मिशेल.
"
"I'm sorry for being touchy.
","क्या, तो तुम रॉबी को पढ़ाने को लेकर मज़ाक कर सकते हो... - पर वह अबाध है?
"
"""719, now you realize.""
","""719, अब आपको पता चलता है.""
"
"The boots and the sweater.
","जूते और स्वेटर.
"
"Don't stop. Don't stop!
","मैं उसे पा ही लूंगा तुम रुकना मत रुकना मत !
"
"I'll get the kid.
","मैं बच्चा मिल जाएगा.
"
"I am so happy..
","मैं बहुत खुश हूँ..
"
"I'm already awesomely proud.
","मुझे तो पहले से ही फ़ख्र है।
"
"man #2: [giggles] man:
","पुरुष #2: [खिसीयानी हंसी] पुरुष:
"
"Did I forget you, Durga?
","क्या मैं तुम्हें भूल गयी, दुर्गा?
"
"It gets very gloomy.
","यहाँ बहुत अँधेरा होता है।
"
"It's not the only thing.
","यह केवल एक चीज नहीं है।
"
"Face the other way!
","मुँह दूसरी ओर करो!
"
"I've been up all night.
","मैं सारी रात किया गया है.
"
"Alphonse is on his way.
","अल्फोंस अपने रास्ते पर है.
"
"- Yeah, and growl.
","- हाँ, और बादल की गरज.
"
"Oh, my God, Andy.
","ओह, मेरे भगवान, एंडी.
"
"That way costs fewer lives.
","जिस तरह से कम जीवन लागत.
"
"This is my assistant Akilan
","यह मेरे सहायक Akilan है
"
"I don't know his name.
","मैं उसका नाम पता नहीं है।
"
"For everyone under the table.
","टेबल के नीचे सभी के लिए।
"
"- Is a virtue.
","? - उसकी भैंस।
"
"I have to find him!
","मुझे उसे खोजना है!
"
"You go to high school?
","आप उच्च विद्यालय के लिए जाना?
"
"This photo was taken then
","यह फोटो तब लिया गया था
"
"We were so close.
","हम इतने करीब थे.
"
"I APPRECIATE THAT YOU'RE SCARED.
","मैं आप डर रहे हैं कि सराहना करते हैं.
"
"I was going to cook.
","मैं पकाने के लिए जा रहा था।
"
"Is it the President?
","यह राष्ट्रपति है?
"
"Let's count 'er down.
","नीचे चलो गिनती 'एर.
"
"That's good to hear.
","सुनकर अच्छा लगा।
"
"What I'm saying is,
","क्या मैं है कह रहा हूँ,
"
"- Or their children.
","- या उनके बच्चो को बचाने में एजी जाते .
"
"- DON'T HANG UP.
","- फोन मत रखना.
"
"Reporting for duty, Sergeant Major.
","ड्यूटी के लिए रिपोर्टिंग, सार्जेंट मेजर.
"
"Yakul! Were you worried?
","मेरे पैर बहुत कमजोर कर रहे हैं!
"
"[PUPPY BARKS AND BURT GASPS]
","[पिल्ला छाल और बर्ट हाँफना]
"
"You'd better start making sense?
","ठीक से समझाओ.
"
"Who's running the show?
","कौन शो चल रहा है?
"
"- Mother, please stop it.
","-माँ,अब बस करो
"
"Don't shoot! I'm not armed.
","गोली मत चलाना मेरे पास कोई गन नहीं है .
"
"You take. We are sorry.
","आप स्लाइड फिर से करना चाहते हैं?
"
"Is that the test?
","परीक्षण के िलए है?
"
"Turn on the radio.
","रेडियो पर मुड़ें.
"
"And go home fast.
","और तेजी से घर जाओ.
"
"You bring her back.
","आप उसे वापस लाने के लिए।
"
"Because the soldier led you?
","क्योंकि सैनिक आप का नेतृत्व किया?
"
"Pull up your satellite feed.
","अपने उपग्रह फ़ीड खींचो.
"
"We got dead Jamaicans, huh?
","हम मृत Jamaicans मिला है, है न?
"
"A few hundred dollars.
","A few hundred dollars.
"
"Why wouldn't I be coming?
","-आता क्यों नहीं मैं ?
"
"Grandma You deceived us.
","दादी ... ... तुमने हमें धोखा दिया.
"
"People came in cars.
","लोग कारों में आये.
"
"Yeah, this is perfect.
","हाँ, यह सही है.
"
"It's a goddamn homing beacon.
","यहएकधत्तेरेघरवापसआनाबीकनहै
"
"I'm Victoria, this is Jack.
","मैं विक्टोरिया, इस जैक है.
"
"Something has to change.
","कुछ बदल गया है.
"
"But I was young.
","लेकिन मैं छोटा था प्यार करता हूँ.
"
"♪ I do believe... ♪
","♪मुझेविश्वासहै... एक'
"
"Did you get the job?
","आपको नौकरी मिल गई ?
"
"Give him an authorized permit!
","उसे एक अधिकृत परमिट दे दो!
"
"He was very handsome.
","वह बहुत सुंदर थी।
"
"Bruno, put on your jacket.
","ब्रूनो, अपनी जैकेट पहन लो.
"
"I just saw your husband.
","मैं सिर्फ अपने पति को देखा.
"
"Which makes him even smarter.
","जो उसे और भी चालाक बनाती है।
"
"How can this happen?
","ये केसे हो सकता हे?
"
"She was on her own.
","वह अपने दम पर था.
"
"We both are not married.
","हम दोनों शादीशुदा नहीं हैं.
"
"Who is the real man?
","कौन सच्चा मर्द है?
"
"- Fucking hell! Brian!
","-भाड़ में जाओ ब्रायन!
"
"WELL, WHO RINGS THEMSELVES UP?
","साथ ही, छल्ले खुद को डब्ल्यूएचओ?
"
"We have kidnapped him.
","हम उसे अगवा कर लिया है.
"
"I don't know, Phil.
","मैं जानता हूँ कि फिल, नहीं है.
"
"When did you come back?
","आप जब वापस आया था?
"
"There's always another way, Sean.
","वहाँ हमेशा एक और तरीका है, शॉन है.
"
"- No, they don't, no.
","- नहीं, उन्हें नहीं पता.
"
"How far is America, papa?
","कितनी दूर है अमेरिका, पिताजी?
"
"Roman, you hang in there.
","रोमन, तुम वहाँ में लटका है.
"
"she was with you.
","वह तुम्हारे साथ था।
"
"Ask the Warden for funds.
","धन के लिए वार्डन से पूछो.
"
"And who knows, Pelle.
","और कौन जाने, पेले.
"
"You took advantage of Gill.
","तुमने जिल का फ़ायदा उठाया।
"
"Krypton has its chance.
","क्रिप्टन अपने मौका है.
"
"What can I say?
","What can I say?
"
"Sounds like a familiar knock
","एक परिचित दस्तक की तरह लगता है
"
"A god of pepper spray.
",". कालीमिर्चस्प्रेका एकदेवता.
"
"We're about to take off.
","हम उड़ान भरने वाले हैं।
"
"Need a lift into town.
","शहर में एक लिफ्ट की आवश्यकता है.
"
"Revati's on her way.
","रेवती के लिए अपने रास्ते पर।
"
"Now God is good...
","अब भगवान अच्छा है ...
"
"That may surprise some people.
","यह कुछ लोगों को आश्चर्य कर सकता है.
"
"That's all that matters.
","कि वह सब मामलों है.
"
"No. Not for real.
","असली के लिए नहीं, ऐसा नहीं है.
"
"I could've killed you, woman.
","मैं तुम्हें मार सकता था, लड़की.
"
"too too many, I think.
","भी बहुत सारे हैं, मुझे लगता है।
"
"You've had five packs already.
","पहले ही तुम्हारे पांच पैक बाकी हैं.
"
"What's her condition now?
","अब क्या उसकी हालत है?
"
"I fucked it all up.
","मैं यह सब गड़बड़ कर दिया करो.
"
"Meaning, you don't know...
","अर्थ, तुम नहीं जानते...
"
"- Yeah, I'm all right.
","- हाँ, मैं ठीक हूँ.
"
"Do you not see?
","तुम देख नहीं है?
"
"- No, you didn't.
","-नहीं तुम नहीं थे.
"
"12 million. 13 million.
","12 लाख. 13 लाख.
"
"Did my father know too?
","क्या मेरे पिता भी ये जानते थे ?
"
"- I can't, Sam.
","- नहीं कर सकता, सैम।
"
"You just say the word.
","आप सिर्फ शब्द कहते हैं।
"
"Oh, that surprise you?
","ओह, यह आपको आश्चर्य?
"
"Where are you now?
","अब तुम कहाँ हो?
"
"Of course you will.
","निश्चय ही आप करेंगे।
"
"SCOTT: (SIGHS) Oh, man.
","स्कॉट: (आह) ओह, यार।
"
"Kaiju's a category 3..
","Kaiju के एक वर्ग 3 ..
"
"Phil, just do something.
","फिल, बस कुछ करो.
"
"We keep on running.
","हम चल रहे हैं पर रहते हैं.
"
"Is he good to you?
","वह आप के लिए अच्छा है?
"
"She's using you, Simon.
","वह साइमन आप उपयोग कर रहा है.
"
"He just started to change.
","वह सिर्फ बदलना शुरू कर दिया.
"
"I stole a car.
","मैंने एक कार चुरायी.
"
"Let's go get 'em, buddy!
","के 'उन्हें, दोस्त मिल जाओ!
"
"So put the gun down..
","इसलिए बंदूक़ नीचे कर लो
"
"Are you gonna do it?
","आप वाला यह क्या कर रहे हो?
"
"Who are these bums?
","ये लफंगे पता नहीं कौन है ?
"
"Where did they steal it?
","कहाँ से चुराया?
"
"And he was right.
","और वह सही थे।
"
"What do I care?
","मुझे परवाह नहीं है।
"
"It won't happen again.
","ऐसा फिर नहीं होगा।
"
"I told you not.
","मैं तुम्हें नहीं बताया.
"
"Don't leave us alone!
","हमें अकेला नहीं छोड़िए!
"
"Which makes all maps.
","इस जहाज पर ज्यादातर लोगों को पता नहीं कैसे पढ़ा जाए।
"
"He was my anchor.
","उन्होंने कहा कि मेरे लंगर था.
"
"- He was all right.
","- वह सब सही था.
"
"- Who is her father?
","- उसके पिता कौन है?
"
"- Brenda's with my team.
","- बे्रन्डा है अपनी टीम के साथ.
"
"(CHATTER ON POLICE RADIO)
","(चटर्जीपरपुलिसरेडियो)
"
"You're embarrassed about your friends?
","तुम अपने दोस्तों के बारे में शर्मिंदा कर रहे हैं?
"
"My rotten luck, that's what.
","मेरी बुरी किस्मत, और क्या.
"
"- I gotta rest.
","- मुझे आराम करना है.
"
"Alan should do it.
","एलन यह करना चाहिए.
"
"- I mean it.
","- मैं यह मतलब है.
"
"Nothing I can't handle, though.
","ऐसा कुछ भी नहीं कि मैं नहीं संभाल सकूं, हालांकि.
"
"A warrior the world salutes...
","A warrior the world salutes...
"
"This is all my fault.
","यह सब मेरी गलती है.
"
"That was a gorgeous wedding.
","यह एक भव्य शादी की थी.
"
"You will make this happen.
","आप कर देगा यह होता है!
"
"Was pressed due to pressure!
","दबाव की वजह से दबाया गया था!
"
"No, we aren't finished! Hey!
","नहीं, हम समाप्त नहीं कर रहे हैं!
"
"I'm tired of the safe!
","मैं सुरक्षित थक गया हूँ!
"
"I am confused myself.
","मैं अपने आप को भ्रमित कर रहा हूँ।
"
"Because you think it's funny.
","क्योंकि आपको लगता है कि यह हास्यास्पद है.
"
"Why are you so late?
","इतनी देर क्यों?
"
"Do narcissists wear balaclavas?
","आत्मकामी बैलाक्लावा टोपी पहनते हैं?
"
"You think it's stolen stuff?
","तुम्हें लगता है कि सामान चोरी का है?
"
"Since she was four.
","जब वह चार साल की थी तबसे।
"
"they're just hanging behind 'em.
","वे सिर्फ उन्हें पीछे लटक रहे हैं.
"
"Kind of an accident.
","ये एक तरह का इतेफाक था.
"
"You...you expected something bad?
","आप को कुछ बुरे का अंदेशा था?
"
"On the roof, Lois!
","छत, लोइस पर!
"
"Speak of the devil!
","शैतान की बात!
"
"That's like winning the sweepstakes.
","छप्पर फाड़ कर मिला है.
"
"I was just checking in.
","बेबे
"
"Nothing's changed on that.
","इसमें कोई बदलाव नही होने वाला है .
"
"# Is love beyond compare...
","♪ तुलना से परे प्यार है ... ♪
"
"-Coming back at you.
","-अब आपकी ओर।
"
"Where did he go?
","वह कहाँ गया?
"
"Are you sure it's him?
","क्या तुम्हें यकीन है कि वही है?
"
"I never saw him before.
","मैं उसे कभी नहीं से पहले देखा था।
"
"Until your heart stops beating.
","जब तक तुम्हारे दिल की धड़कन रुक जाती है.
"
"You need an escort!
","तुम्हें एक अनुरक्षक की जरूरत है!
"
"Priya, my young sister.
","प्रिया,मेरी छोटी बहन
"
"I don't do cold weather.
","मैं ठंड के मौसम में भी नहीं है.
"
"[man speaking native language]
","[पुरुष अपनी मातृभाषा में बोल रहा है]
"
"How do you kill people?
","आप लोगों को कैसे मारने करते हैं?
"
"Let us be allies.
","हमें सहयोगियों किया जाना है.
"
"- and take him home.
","... और उसे घर ले।
"
"- How could you...
","- तुम कैसे ...
"
"He runs the simulations!
","वह सिमुलेशन चलाता है!
"
"Alphonse is still in danger.
","अल्फोंस खतरे में अब भी है.
"
"Put the gun down, Cameron.
",", कैमरून बंदूक नीचे रखो.
"
"I want my mission.
","मैं अपने मिशन चाहते हैं।
"
"Why would he say Crateros?
","क्यों वह Crateros कहेंगे?
"
"Are you fucking kidding me?
","मज़ाक कर रहे हो क्या!
"
"Maybe I wasn't clear enough.
","शायद, मैं काफी स्पष्ट नहीं था.
"
"Did Klaus break the totem?
","क्लाउस टोटेम तोड़ दिया?
"
"He was a real horror.
","वह भयानक थे।
"
"Please give me her address.
","प्लीज मुझे उसका पता दे दो.
"
"Seems like an old offender...
","एक पुराने अपराधी की तरह लगता है ...
"
"Wolf girl not care.
","वुल्फ लड़की को परवाह नहीं है.
"
"I let him down?
","मैं उसे निराश किया.
"
"I repair this crime.
","मैं इसे ठीक करूगी.
"
"POLICEMAN. ; 22nd precinct.
","पुलिस: 22 सीमा .
"
"And we still had corn.
","फिर भी हमारे पास मकाई थी .
"
"Where is this guy at?
","जहां इस आदमी पर है?
"
"It's just... it's just business.
","It's just ... It's just business.
"
"So my name is Masood...
","तो, मेरा नाम मसूद है...
"
"We work four days' straight.
","हम चार दिनों के सीधे काम करते हैं.
"
"""So click my photo... beloved.""
","""तो मेरी तस्वीर पर क्लिक करें ... प्रिय""
"
"It's God's country, ain't it?
","यह यह भगवान का देश नहीं है?
"
"Membership has its privileges.
","सदस्यता के अपने विशेषाधिकार हैं।
"
"We have no more oilfields.
","हमारे पास और तेल कूप नहीं हैं.
"
"I'm not going anywhere mom.
","मैं कहीं भी माँ नहीं जा रहा हूँ.
"
"But he will never surrender!
","लेकिन वह कभी आत्मसमर्पण नहीं करेगा!
"
"Can you hear us?
","आप हमें सुन सकते हैं?
"
"This is our forest.
","यह हमारे वन है.
"
"Why you say that?
","क्यों?
"
"He's in a bad condition.
","उन्होंने कहा कि एक बुरी हालत में है।
"
"They make my skin crawl!
","साधारण शिकारी नहीं हैं. वे विशेष स्काउट्स हैं.
"
"- How old are you?
","- तुम्हारी उम्र क्या है?
"
"- - You were fantastic.
","- तुम शानदार थे.
"
"- Archers, to the line!
","- धनुर्धारियों, लाइन के लिए!
"
"Irepeat,do youhavethevicepresident? We do.
","हैं।
"
"S-Sansa... is she all right?
","एस Sansa ... वह सब सही है?
"
"Some winter town girl.
","कुछ सर्दियों शहर की लड़की।
"
"They take their chances.
","वे अपनी किस्मत आजमा सकते हैं.
"
"Just, give it some time.
","बस, यह कुछ समय दे.
"
"I lost a tooth.
","मैं एक दांत गिर गया.
"
"Come and play with us.
","आओ और हमारे साथ खेलो.
"
"But then one day...
","लेकिन फिर एक दिन...
"
"We're running out of time.
","हमारे पास समय नहीं है .
"
"My dreams are different.
","मेरे सपनों अलग हैं।
"
"- Cap and trade.
","- कैप और व्यापार.
"
"So new equals valuable.
","तो नए मूल्यवान बराबर होती है.
"
"We found you in this.
","हम इस में आप पाया.
"
"Will you come with me?
","Will you come with me?
"
"We talked about that.
","हम उस बारे में बात की.
"
"( breathing heavily )
","(श्वास भारी)
"
"Mirando is completely fucked.
","मिरैन्डो का बेड़ा गर्क हो गया है।
"
"Come on, just 'till Barstow.
","चलो, 'अभी तक Barstow.
"
"You got special plans?
","आप विशेष योजनाओं मिला?
"
"I do... every day.
","मुझे क्या करना है ... हर दिन है।
"
"They just took the convoy.
","वे सिर्फ काफिले लिया.
"
"- She's running away.
","- ओ भाग रही है ये तो.
"
"Get a little angry.
","एक छोटे से नाराज हो जाओ.
"
"And we have Tet contact.
","और हम Tet संपर्क किया है
"
"I was in construction.
","मैं निर्माण में था.
"
"(CELL PHONES ALL CONTINUE RINGING)
","(सेल फ़ोन सभी बज जारी)
"
"This ain't the theatre.
","इस थिएटर नहीं है.
"
"You're such a fucking loser.
","तुम इतने कमीने हारे हुए हैं.
"
"That's all it takes, really.
","सच में यही चाहिए.
"
"Steady on the left, lads!
","बाईं तरफ गिरता है, लड़कों!
"
"What do you think?
","आप क्या सोचते हैं?
"
"What was that old movie?
","उस पुरानी फिल्म क्या था?
"
"You don't know him.
","आप उसे नहीं जानता.
"
"Bravo team's gonna breach.
","ब्रावो टीम वाला उल्लंघन.
"
"Don't be shy, Lavender.
","- शरमाओ मत, लैवेंडर।
"
"Emergency personnel, code blue.
","आपातकाल के कर्मियों , कोड नीला.
"
"SubTitles Provided By Worldwide7477
","Worldwide7477 द्वारा प्रदान उपशीर्षक
"
"Come in and join us!
","आओ, हमारे साथ आओ!
"
"You must promise moon...
","You must promise moon...
"
"Malcolm, where are you going?
","तुम कहाँ जा रहे हो?
"
"- Is that it?
","- इतना ही?
"
"This is nothing, really.
","यह कोई बड़ी बात नहीं है, सच में।
"
"I need something, Sorbonne.
","मैं कुछ, सोरबोन की जरूरत है.
"
"- With the enchiladas, too.
","- भी enchiladas, के साथ.
"
"- Like an animal?
","- एक जानवर की तरह?
"
"IT'S NOT YOUR NAME.
","आईटी आपका नाम नहीं है.
"
"He makes a mistake, Pharnakes.
","वह एक गलती की है, Pharnakes बनाता है.
"
"I will be there.
","मैं वहीं होऊँगा।
"
"What's the matter with you?
","तुम्हें क्या हो गया है?
"
"- And to the myths.
","- और मिथकों को.
"
"It's mighty breezy out there.
","यहवहाँबाहरसमीरिकशक्तिशालीहै.
"
"Let's go to work!
","-काम पर लगो !
"
"Those are my pills.
","उन मेरे गोलियाँ हैं.
"
"What's wrong with my dress?
","मेरी पोशाक के साथ क्या गलत है?
"
"Yeah, that was something!
","ठीक है! हाँ, यह कुछ था!
"
"Why are you shocked?
","आप हैरान क्यों हैं?
"
"Long time, no see, Clyde.
","लंबे समय, क्लाइड नहीं देखा.
"
"Beatrice didn't tell you?
","बीट्राइस आपको बता नहीं किया?
"
"Don't even go there.
","यहां तक ​​कि वहां मत जाओ.
"
"Thank you very much.
","बहुत बहुत धन्यवाद.
"
"Two more weeks, Jack.
","दो और सप्ताह, जैक.
"
"- That would be Carina?
","- वह कैरिना होगी?
"
"Stu, he got me.
","छात्र, वह मुझे मिल गया.
"
"Did she get HIV, too?
","वह भी एचआईवी मिलता है?
"
"Thirty or forty dollars usually.
","आमतौर पर $30 और $40 के बीच. ठीक है.
"
"(BAND PLAYING FOLK MUSIC)
","(लोक संगीत खेल बैंड)
"
"No. No, it ain't serious.
","नहीं, नहीं, यह गंभीर नहीं है.
"
"You call that a magician?
","तुम्हें पता है कि एक जादूगर कहते हैं?
"
"What was her name?
","क्या नाम था उसका?
"
"""Let's enjoy this life, sweetheart.""
","""हम इस जीवन, जानेमन का आनंद लें।""
"
"Say something mean to him.
","खिलौने को कुछ बुरा कहो।
"
"I'm ready to marry!
","मैं शादी करना चाहती हूँ!
"
"Lynne smoked the wrong guy.
","लीनी गलत आदमी स्मोक्ड.
"
"Danny, mind what I say.
","डैनी, ध्यान दो मैंने क्या कहा.
"
"Get the main power line!
","मुख्य विद्युत लाइन जाओ!
"
"We took Casterly Rock.
","हम Casterly रॉक ले लिया।
"
"A week, if we're lucky.
","एक हफ्ते, हम भाग्यशाली हैं.
"
"Signe, my dear, don't cry.
","सिग्ने, मेरे प्रिय, मत रोओ.
"
"I have seen many dogs.
","मैं कई कुत्तों को देखा है।
"
"She's, like, this big.
","वह इतनी बड़ी है।
"
"I think they rent there.
","मुझे लगता है वे किराये पर देते है.
"
"I'm your elder brother.
","मैं तुम्हारा बड़ा भाई हूँ.
"
"I am sorry... my friend.
","माफ़ करना... मेरे दोस्त।
"
"""Sweetheart I swear on you.""
","""जानेमन मैं तुम पर कसम खाता हूँ।""
"
"Her grandmother was a healer.
","उसकी दादी कल्याण कारी काम करती थीं
"
"What are those for?
","के लिए वो क्या है?
"
"How old are you?
","तुम्हारी उम्र क्या है?
"
"We are locked, Cooper.
","हम जुड़ चुके है, Cooper.
"
"Yes, it's not a disease.
","हां, यह कोई बीमारी नहीं है.
"
"That's why I brought her.
","इसलिए तो लाया हूँ।
"
"This is your mother?
","यह तुम्हारी माँ है?
"
"Look at his mouth.
","उसका मुंह देखो.
"
"I would like a tasting.
","मैं एक चखने चाहते हैं।
"
"Guardian advanced to target.
","गार्जियन लक्ष्य के लिए उन्नत.
"
"Go after those two!
","उन दोनों के पीछे जाओ!
"
"You can't be in here.
","तुम यहां अंदर नहीं आ सकते।
"
"They just miss me.
","वे बस मुझे याद आती है.
"
"Tej, what have you got?
","तेज, आप क्या मिल गया है?
"
"Don't say you haven't noticed.
","क्या तुमने कभी देखा नहीं
"
"A Mom and Pop operation.
","एक माँ और पॉप ऑपरेशन.
"
"Why didn't you update me?
","तुम मुझे क्यों अद्यतन नहीं किया?
"
"I'll be right back.
","मैं अभी वापस हो जाएगा.
"
"What are we, fucking Vikings?
","कमबख्त वाइकिंग्स, हम क्या कर रहे हैं?
"
"Here's your gate code.
","ये रहा तुम्हारा गेट कोड।
"
"""So click my photo...""
","""तो मेरी तस्वीर पर क्लिक करें ...""
"
"What have you been doing?
","क्या कर रही थीं?
"
"If Your forces prevail,
","अपने बलों प्रबल हैं,
"
"[ DOORBELL RINGS ]
","[घंटी बजती है]
"
"It is not your arm.
","यह आपके हाथ में नहीं है.
"
"The 25th. man #2:
","25. पुरुष #2:
"
"the Americans are there too.
","अमेरिकियों के भी हैं.
"
"Owe you some money?
","आप कुछ पैसा देना है?
"
"Oh, there we go.
","ओह, वहाँ हम चले.
"
"- Are you crazy?
","- तुम पागल हो?
"
"I will arrest you now
","मैं तुम्हें अब गिरफ्तार करेगी
"
"I don't like wasted trips.
","मैं यात्राएं नहीं बर्बाद करना पसंद है.
"
"Swing, swing, swing, swing
","= मुझे सवारी = घुमाओ, झूले, झूले, झूले
"
"Keep your eyes open.
","अपनी आँखें खुली रखें.
"
"This shit is crazy.
","इस गंदगी पागल है.
"
"You remember what Aristotle said.
","आप अरस्तू ने कहा कि क्या याद है.
"
"Did you want that?
","यह वाली तुम्हें चाहिए थी क्या?
"
"4 years till date
","आज तक 4 साल
"
"- I got this.
","- मैं संभाल लूंगा .
"
"Hand over the tape.
","टेप हमें दे दो।
"
"- I missed the show.
","- मैं इस शो याद किया.
"
"- I'm dead down there.
","- वहाँ कुछ नहीं होता।
"
"[ WIND CHIMES RINGING ]
","[पवन बज झंकार]
"
"You've made my life difficult.
","तुम मेरे जीवन मुश्किल कर दिया है।
"
"Are you fine, dear?
","आप ठीक है, प्रिय हैं?
"
"We're comin' in too fast.
","हम भी तेजी में आ रहे हैं.
"
"Well, I have tons.
","खैर, मैं टन है.
"
"What happened to him?
","क्या हूआ इसे?
"
"About four years ago,
","करीब चार साल पहले,
"
"Judith, you nailed another one.
","जूडिथ, आप एक दूसरे से किसी न किसी
"
"Previously on The Originals...
","इससे पहले मूल पर ...
"
"Because we couldn't go on.
","हम पर नहीं जा सकी है.
"
"© P@rM! NdeR M@nkÖÖ ™
","©@ पीआर एम nderएम@ nkÖÖ 
"
"(SOLDIERS SHOUTING IN KOREAN)
","(सैनिकोंकोरियाईमेंचिल्ला)
"
"- Did you enjoy it?
","- आप इसे पसंद आई?
"
"- ( engine starts )
","- (इंजन शुरू होता है)
"
"I'm right behind you.
","मैं तुम्हारे पीछे हूँ.
"
"Yeah, you probably should.
","हाँ, शायद रख देना चाहिए।
"
"She was in our truck.
","वह हमारे ट्रक में थी।
"
"With a hammer, I think...
","हथौड़ा से, मुझे लगता है कि ...
"
"Attention, the approaching aircraft.
","सावधान, आ विमान.
"
"But I'm a cop.
","लेकिन मैं एक सिपाही हूँ.
"
"You carry on, I'll wait.
","तुम जाओ, मै इंतजार करूगा.
"
"He wants me to starve.
","वह मुझे भूखे मारना चाहता है.
"
"Isn't that great, Stu?
","बहुत ही अच्छी है, नहीं है कि छात्र?
"
"Martin works in magazine publishing.
","मार्टिन पत्रिका प्रकाशन में है।
"
"- I'm waiting for you.
","- मैं आपकी प्रतीक्षा कर रहा हूँ।
"
"I just found out.
","मुझे अभी पता चला।
"
"Want to hear a story?
","एक कहानी सुनना चाहते हैं?
"
"- ( choking )
","चलो. - (घुट)
"
"I don't believe it.
","मुझे यक़ीन नहीं हो रहा।
"
"- I don't know.
","- मुझे नहीं मालूम.
"
"- I'm the salesman.
","- मैं विक्रेता हूँ।
"
"Don't worry about it.
","इसके बारे में चिंता मत करो.
"
"Neural handshake confirmed, sir.
","तंत्रिका हाथ मिलाना, साहब की पुष्टि की.
"
